date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:05:52	267877/267877	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Jun%202024%2002:20:15%20GMT	https://demo.edublink.co/	D:/demo/demo.edublink.co/index.html	(from )
15:05:52	113/113	---M-Z	200	added ('OK')	text/plain	date:Wed,%2003%20Jul%202024%2009:51:59%20GMT	https://demo.edublink.co/robots.txt		(from )
15:05:52	1369/1369	---M-Z	200	added ('OK')	text/css	date:Mon,%2030%20Oct%202023%2019:32:57%20GMT	https://demo.edublink.co/wp-content/plugins/learnpress-wishlist/assets/css/wishlist.min.css?ver=4.0.6	D:/demo/demo.edublink.co/wp-content/plugins/learnpress-wishlist/assets/css/wishlist.min8603.css	(from https://demo.edublink.co/)
15:05:53	8606/8606	---MCZ	200	added ('OK')	application/rss+xml	date:Fri,%2028%20Jun%202024%2020:27:53%20GMT	https://demo.edublink.co/comments/feed/	D:/demo/demo.edublink.co/comments/feed/index.html	(from https://demo.edublink.co/)
15:05:53	96529/96529	---MCZ	200	added ('OK')	application/rss+xml	date:Fri,%2028%20Jun%202024%2020:27:53%20GMT	https://demo.edublink.co/feed/	D:/demo/demo.edublink.co/feed/index.html	(from https://demo.edublink.co/)
15:05:54	27653/27653	---M-Z	200	added ('OK')	text/css	date:Wed,%2026%20Jun%202024%2008:11:30%20GMT	https://demo.edublink.co/wp-content/cache/min/1/wp-content/plugins/metronet-profile-picture/dist/blocks.style.build.css?ver=1719389490	D:/demo/demo.edublink.co/wp-content/cache/min/1/wp-content/plugins/metronet-profile-picture/dist/blocks.style.build8592.css	(from https://demo.edublink.co/)
15:05:54	53434/53434	---M-Z	200	added ('OK')	text/css	date:Wed,%2026%20Jun%202024%2008:11:30%20GMT	https://demo.edublink.co/wp-content/cache/min/1/wp-content/plugins/redux-framework/redux-core/assets/css/extendify-utilities.css?ver=1719389490	D:/demo/demo.edublink.co/wp-content/cache/min/1/wp-content/plugins/redux-framework/redux-core/assets/css/extendify-utilities8592.css	(from https://demo.edublink.co/)
15:05:54	2368/2368	---M-Z	200	added ('OK')	text/css	date:Wed,%2026%20Jun%202024%2008:11:30%20GMT	https://demo.edublink.co/wp-content/cache/min/1/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=1719389490	D:/demo/demo.edublink.co/wp-content/cache/min/1/wp-content/plugins/contact-form-7/includes/css/styles8592.css	(from https://demo.edublink.co/)
15:05:55	17572/17572	---M-Z	200	added ('OK')	text/css	date:Wed,%2026%20Jun%202024%2008:11:30%20GMT	https://demo.edublink.co/wp-content/cache/min/1/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=1719389490	D:/demo/demo.edublink.co/wp-content/cache/min/1/wp-content/plugins/woocommerce/assets/css/woocommerce-layout8592.css	(from https://demo.edublink.co/)
15:05:55	7043/7043	---M-Z	200	added ('OK')	text/css	date:Wed,%2026%20Jun%202024%2008:11:30%20GMT	https://demo.edublink.co/wp-content/cache/min/1/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=1719389490	D:/demo/demo.edublink.co/wp-content/cache/min/1/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen8592.css	(from https://demo.edublink.co/)
15:05:55	75665/75665	---M-Z	200	added ('OK')	text/css	date:Wed,%2026%20Jun%202024%2008:11:30%20GMT	https://demo.edublink.co/wp-content/cache/min/1/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=1719389490	D:/demo/demo.edublink.co/wp-content/cache/min/1/wp-content/plugins/woocommerce/assets/css/woocommerce8592.css	(from https://demo.edublink.co/)
15:05:56	705/705	---M-Z	200	added ('OK')	text/css	date:Wed,%2026%20Jun%202024%2008:11:30%20GMT	https://demo.edublink.co/wp-content/cache/min/1/wp-content/plugins/wp-events-manager/inc/libraries/countdown/css/jquery.countdown.css?ver=1719389490	D:/demo/demo.edublink.co/wp-content/cache/min/1/wp-content/plugins/wp-events-manager/inc/libraries/countdown/css/jquery.countdown8592.css	(from https://demo.edublink.co/)
15:05:56	1261/1261	---M-Z	200	added ('OK')	text/css	date:Wed,%2026%20Jun%202024%2008:11:30%20GMT	https://demo.edublink.co/wp-content/cache/min/1/wp-content/plugins/wp-events-manager/inc/libraries/owl-carousel/css/owl.carousel.css?ver=1719389490	D:/demo/demo.edublink.co/wp-content/cache/min/1/wp-content/plugins/wp-events-manager/inc/libraries/owl-carousel/css/owl.carousel8592.css	(from https://demo.edublink.co/)
15:05:56	6419/6419	---M-Z	200	added ('OK')	text/css	date:Wed,%2026%20Jun%202024%2008:11:30%20GMT	https://demo.edublink.co/wp-content/cache/min/1/wp-content/plugins/wp-events-manager/inc/libraries/magnific-popup/css/magnific-popup.css?ver=1719389490	D:/demo/demo.edublink.co/wp-content/cache/min/1/wp-content/plugins/wp-events-manager/inc/libraries/magnific-popup/css/magnific-popup8592.css	(from https://demo.edublink.co/)
15:05:57	4010/4010	---M-Z	200	added ('OK')	text/css	date:Wed,%2026%20Jun%202024%2008:11:30%20GMT	https://demo.edublink.co/wp-content/cache/min/1/wp-content/plugins/wp-events-manager/assets/css/frontend/events.min.css?ver=1719389490	D:/demo/demo.edublink.co/wp-content/cache/min/1/wp-content/plugins/wp-events-manager/assets/css/frontend/events.min8592.css	(from https://demo.edublink.co/)
15:05:57	2834/2834	---M-Z	200	added ('OK')	text/css	date:Wed,%2026%20Jun%202024%2008:11:30%20GMT	https://demo.edublink.co/wp-content/cache/min/1/wp-content/plugins/yith-woocommerce-quick-view/assets/css/yith-quick-view.css?ver=1719389490	D:/demo/demo.edublink.co/wp-content/cache/min/1/wp-content/plugins/yith-woocommerce-quick-view/assets/css/yith-quick-view8592.css	(from https://demo.edublink.co/)
15:05:58	617/617	---M-Z	200	added ('OK')	text/css	date:Mon,%2030%20Oct%202023%2020:34:07%20GMT	https://demo.edublink.co/wp-content/themes/edublink-child/style.css?ver=6.5.5	D:/demo/demo.edublink.co/wp-content/themes/edublink-child/styleadc6.css	(from https://demo.edublink.co/)
15:05:58	96563/96563	---M-Z	200	added ('OK')	text/css	date:Wed,%2026%20Jun%202024%2008:11:30%20GMT	https://demo.edublink.co/wp-content/cache/min/1/wp-content/themes/edublink/assets/css/remixicon.css?ver=1719389490	D:/demo/demo.edublink.co/wp-content/cache/min/1/wp-content/themes/edublink/assets/css/remixicon8592.css	(from https://demo.edublink.co/)
